,,,,,,,,,,,Census,2010 Based Population Forecasts,,,,2020 Census Data
143,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1751,1884,2013,2140,,
144,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1716,1846,1973,2097,,
145,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2539,2731,2919,3103,,
146,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,5074,5458,5833,6200,,
147,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,4225,4545,4857,5163,,
148,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1286,1383,1478,1571,,
149,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,6688,7195,7688,8171,,
150,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,532,573,613,650,,
151,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2312,2487,2658,2825,,
152,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1306,1405,1501,1596,,
153,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1461,1572,1680,1785,,
154,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2428,2612,2791,2967,,
155,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2871,3088,3300,3508,,
156,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2091,2249,2404,2555,,
157,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2060,2216,2368,2517,,
158,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2990,3216,3437,3654,,
159,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1368,1472,1573,1672,,
160,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1722,1852,1980,2104,,
161,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1184,1274,1361,1447,,
162,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3591,3863,4128,4388,,
163,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,5301,5703,6094,6477,,
164,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3995,4298,4593,4882,,
165,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,823,885,946,1006,,
166,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3536,3804,4065,4321,,
167,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3792,4079,4359,4634,,
168,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2590,2786,2977,3165,,
169,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,3815,4104,4386,4662,,
170,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,1078,1160,1239,1317,,
171,Danbury,8,34,Fairfield,104,WestCOG,1,HVMPO,2,,2563,2757,2946,3132,,
74,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1443,1481,1519,1556,,
75,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2575,2644,2710,2776,,
76,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2301,2362,2422,2480,,
77,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2236,2296,2354,2410,,
78,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1321,1356,1390,1424,,
79,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2499,2566,2630,2694,,
80,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1697,1742,1786,1829,,
81,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2290,2351,2410,2469,,
82,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,3148,3231,3314,3394,,
83,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1222,1255,1287,1317,,
1497,Deep River,124,122,Middlesex,414,RiverCOG,11,RiverCOG,11,,207,216,224,232,,
1498,Deep River,124,122,Middlesex,414,RiverCOG,11,RiverCOG,11,,655,682,708,734,,
1499,Deep River,124,122,Middlesex,414,RiverCOG,11,RiverCOG,11,,237,247,256,266,,
1500,Deep River,124,122,Middlesex,414,RiverCOG,11,RiverCOG,11,,977,1017,1057,1095,,
1501,Deep River,124,122,Middlesex,414,RiverCOG,11,RiverCOG,11,,2553,2658,2761,2861,,
570,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,624,632,641,649,,
571,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,1611,1632,1652,1672,,
572,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,2962,3000,3038,3074,,
573,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,1225,1241,1256,1271,,
574,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,2534,2567,2599,2630,,
575,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,1268,1284,1300,1316,,
576,Derby,51,36,New Haven,506,NVCOG,5,GBVMPO,6,,2678,2713,2746,2779,,
1253,Durham,98,37,Middlesex,404,RiverCOG,11,RiverCOG,11,,706,770,833,895,,
1254,Durham,98,37,Middlesex,404,RiverCOG,11,RiverCOG,11,,1915,2090,2260,2427,,
1255,Durham,98,37,Middlesex,404,RiverCOG,11,RiverCOG,11,,1979,2160,2336,2508,,
1256,Durham,98,37,Middlesex,404,RiverCOG,11,RiverCOG,11,,2159,2356,2548,2736,,
1257,Durham,98,37,Middlesex,404,RiverCOG,11,RiverCOG,11,,629,686,742,797,,
1110,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,673,714,754,793,,
1111,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,927,984,1039,1093,,
1112,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,138,146,155,163,,
1113,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,949,1007,1063,1119,,
1114,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,1599,1696,1792,1884,,
1115,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,685,727,767,807,,
1116,East Granby,88,39,Hartford,207,CRCOG,10,CRCOG,10,,177,188,198,209,,
1481,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,749,835,919,1002,,
1482,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,900,1004,1105,1204,,
1483,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,3831,4272,4703,5125,,
1484,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,582,649,714,779,,
1485,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,519,579,637,694,,
1486,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,649,724,797,868,,
1487,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,1631,1819,2002,2182,,
1488,East Haddam,121,40,Middlesex,405,RiverCOG,11,RiverCOG,11,,265,296,326,354,,
1318,East Hampton,106,41,Middlesex,406,RiverCOG,11,RiverCOG,11,,4288,4723,5148,5564,,
1319,East Hampton,106,41,Middlesex,406,RiverCOG,11,RiverCOG,11,,3939,4339,4729,5111,,
1320,East Hampton,106,41,Middlesex,406,RiverCOG,11,RiverCOG,11,,1556,1714,1868,2019,,
1321,East Hampton,106,41,Middlesex,406,RiverCOG,11,RiverCOG,11,,3176,3499,3813,4121,,
1342,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,2071,2080,2085,2089,,
1343,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,949,953,956,958,,
1344,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3788,3804,3814,3821,,
1345,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3701,3717,3727,3734,,
1346,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,1483,1489,1493,1496,,
1347,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,4556,4575,4588,4596,,
1348,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,6616,6644,6662,6674,,
1349,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,921,926,927,929,,
1350,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,4492,4511,4523,4532,,
1351,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3369,3383,3392,3399,,
1352,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3592,3607,3617,3624,,
1353,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3415,3430,3439,3445,,
1354,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,2158,2167,2173,2177,,
1355,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,1522,1529,1533,1535,,
1356,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3055,3068,3076,3082,,
1357,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,1857,1865,1870,1873,,
1358,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,567,570,571,572,,
1359,East Hartford,109,42,Hartford,208,CRCOG,10,CRCOG,10,,3140,3153,3162,3168,,
889,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1230,1283,1335,1386,,
890,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2451,2557,2661,2762,,
891,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1541,1608,1673,1737,,
892,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1965,2050,2133,2215,,
893,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1064,1111,1155,1199,,
894,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2208,2304,2397,2489,,
895,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2926,3053,3177,3298,,
896,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1913,1996,2077,2156,,
897,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,285,298,310,321,,
898,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1481,1545,1608,1669,,
899,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2056,2145,2232,2317,,
900,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1863,1944,2023,2100,,
901,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1623,1693,1762,1829,,
902,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2546,2656,2764,2870,,
903,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,1453,1516,1577,1638,,
904,East Haven,76,43,New Haven,507,SCRCOG,8,SCRCOG,8,,2652,2767,2879,2989,,
1525,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,1194,1293,1390,1485,,
1526,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,3063,3317,3564,3806,,
1527,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,1798,1947,2092,2234,,
1528,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,1604,1737,1866,1993,,
1529,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,22,24,26,27,,
1530,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,5070,5489,5899,6301,,
1531,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,3512,3803,4086,4364,,
1532,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,1368,1481,1592,1700,,
1533,East Lyme,129,44,New London,603,SCCOG,13,SCCOG,13,,1528,1655,1778,1899,,
1400,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,881,934,986,1037,,
1401,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,1397,1481,1563,1643,,
1402,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,1810,1919,2025,2129,,
1403,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,1890,2004,2114,2223,,
1404,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,2216,2349,2479,2606,,
1405,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,2046,2169,2289,2406,,
1406,East Windsor,112,46,Hartford,209,CRCOG,10,CRCOG,10,,922,977,1031,1084,,
1763,Eastford,162,38,Windham,805,NECCOG,15,NECCOG,R,,234,263,291,319,,
1764,Eastford,162,38,Windham,805,NECCOG,15,NECCOG,R,,922,1035,1147,1256,,
1765,Eastford,162,38,Windham,805,NECCOG,15,NECCOG,R,,248,279,309,338,,
1766,Eastford,162,38,Windham,805,NECCOG,15,NECCOG,R,,345,388,429,470,,
304,Easton,28,45,Fairfield,106,MetroCOG,7,GBVMPO,7,,1351,1434,1514,1593,,
305,Easton,28,45,Fairfield,106,MetroCOG,7,GBVMPO,7,,1571,1667,1761,1853,,
306,Easton,28,45,Fairfield,106,MetroCOG,7,GBVMPO,7,,3561,3778,3991,4200,,
307,Easton,28,45,Fairfield,106,MetroCOG,7,GBVMPO,7,,352,374,395,415,,
308,Easton,28,45,Fairfield,106,MetroCOG,7,GBVMPO,7,,655,695,734,772,,
1435,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,1871,2083,2290,2492,,
1436,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,2625,2922,3212,3496,,
1437,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,719,800,880,959,,
1438,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,1841,2050,2253,2452,,
1439,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,790,879,967,1052,,
1440,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,3091,3441,3782,4117,,
1441,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,3327,3704,4071,4431,,
1442,Ellington,115,47,Tolland,705,CRCOG,10,CRCOG,10,,1338,1490,1637,1782,,
1407,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1841,1865,1889,1912,,
1408,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,3274,3317,3359,3400,,
1409,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,3093,3134,3173,3212,,
1410,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2043,2070,2096,2122,,
1411,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2132,2160,2187,2214,,
1412,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2244,2274,2302,2331,,
1413,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1381,1399,1417,1434,,
1414,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,964,977,989,1001,,
1415,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1385,1403,1421,1438,,
1416,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1155,1170,1185,1200,,
1417,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,3868,3919,3969,4017,,
1418,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,369,374,379,383,,
1419,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2021,2048,2074,2099,,
1420,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2260,2290,2319,2347,,
1421,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1370,1388,1406,1423,,
1422,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,389,394,399,404,,
1423,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1885,1910,1934,1958,,
1424,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,974,987,999,1012,,
1425,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,981,994,1007,1019,,
1426,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,4226,4281,4335,4389,,
1427,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2130,2158,2185,2212,,
1428,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,1985,2011,2037,2062,,
1429,Enfield,113,48,Hartford,210,CRCOG,10,CRCOG,10,,2684,2719,2754,2788,,
1502,Essex,125,49,Middlesex,407,RiverCOG,11,RiverCOG,11,,1531,1641,1749,1854,,
1503,Essex,125,49,Middlesex,407,RiverCOG,11,RiverCOG,11,,1485,1592,1697,1799,,
1504,Essex,125,49,Middlesex,407,RiverCOG,11,RiverCOG,11,,2828,3032,3230,3426,,
1505,Essex,125,49,Middlesex,407,RiverCOG,11,RiverCOG,11,,839,900,959,1016,,
276,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2483,2540,2596,2650,,
277,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2719,2782,2843,2902,,
278,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1971,2016,2061,2104,,
279,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2966,3034,3100,3166,,
280,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2502,2560,2616,2671,,
281,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2192,2242,2292,2340,,
282,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1059,1084,1107,1130,,
283,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,4066,4160,4250,4339,,
284,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1172,1200,1225,1251,,
285,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1275,1304,1333,1361,,
286,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1093,1119,1143,1167,,
287,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1824,1866,1907,1947,,
288,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2541,2599,2656,2712,,
289,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2104,2152,2200,2246,,
290,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2339,2393,2445,2497,,
291,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1648,1686,1723,1759,,
292,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2440,2496,2551,2605,,
293,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1359,1390,1421,1451,,
294,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1943,1988,2031,2074,,
295,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1253,1282,1310,1337,,
296,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1321,1351,1381,1410,,
297,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,4008,4100,4189,4278,,
298,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1959,2004,2048,2091,,
299,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,1952,1997,2041,2084,,
300,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2278,2330,2382,2432,,
301,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2220,2271,2321,2370,,
302,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2578,2637,2695,2752,,
303,Fairfield,27,50,Fairfield,107,MetroCOG,7,GBVMPO,7,,2139,2188,2236,2283,,
718,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1149,1271,1389,1505,,
719,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2356,2605,2848,3086,,
720,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2679,2961,3238,3509,,
721,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1954,2161,2362,2560,,
722,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1022,1130,1235,1339,,
723,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1975,2184,2388,2587,,
724,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1350,1493,1632,1768,,
725,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2278,2519,2754,2984,,
726,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2130,2355,2575,2790,,
727,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1091,1206,1319,1429,,
728,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,1962,2170,2372,2570,,
729,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2175,2405,2629,2849,,
730,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,573,634,693,752,,
731,Farmington,65,51,Hartford,211,CRCOG,10,CRCOG,10,,2646,2926,3199,3466,,
1632,Franklin,148,52,New London,604,SCCOG,13,SCCOG,13,,447,470,493,515,,
1633,Franklin,148,52,New London,604,SCCOG,13,SCCOG,13,,606,637,667,697,,
1634,Franklin,148,52,New London,604,SCCOG,13,SCCOG,13,,506,532,558,583,,
1635,Franklin,148,52,New London,604,SCCOG,13,SCCOG,13,,363,382,400,418,,
1327,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,300,326,352,378,,
1328,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,329,358,386,414,,
1329,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2642,2875,3101,3323,,
1330,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,6110,6648,7172,7686,,
1331,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,1578,1717,1852,1985,,
1332,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,3411,3711,4004,4291,,
1333,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,557,606,654,701,,
1334,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,1366,1486,1603,1718,,
1335,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2097,2282,2461,2638,,
1336,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2100,2285,2465,2642,,
1337,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2433,2647,2856,3060,,
1338,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2138,2326,2510,2689,,
1339,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,2541,2765,2983,3196,,
1340,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,3346,3640,3928,4209,,
1341,Glastonbury,108,53,Hartford,212,CRCOG,10,CRCOG,10,,3479,3785,4084,4376,,
352,Goshen,35,54,Litchfield,307,NHCOG,3,NHCOG,R,,481,543,603,661,,
353,Goshen,35,54,Litchfield,307,NHCOG,3,NHCOG,R,,746,842,935,1026,,
354,Goshen,35,54,Litchfield,307,NHCOG,3,NHCOG,R,,1422,1603,1780,1955,,
355,Goshen,35,54,Litchfield,307,NHCOG,3,NHCOG,R,,327,369,410,450,,
696,Granby,62,55,Hartford,213,CRCOG,10,CRCOG,10,,1984,2160,2331,2498,,
697,Granby,62,55,Hartford,213,CRCOG,10,CRCOG,10,,1736,1890,2039,2186,,
698,Granby,62,55,Hartford,213,CRCOG,10,CRCOG,10,,4743,5162,5572,5972,,
699,Granby,62,55,Hartford,213,CRCOG,10,CRCOG,10,,2819,3068,3311,3550,,
1,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1554,1566,1578,1590,,
2,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2099,2115,2131,2147,,
3,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3993,4023,4055,4084,,
4,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1659,1672,1685,1697,,
5,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2666,2687,2707,2727,,
6,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2369,2388,2406,2423,,
7,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3155,3180,3204,3227,,
8,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2176,2193,2210,2226,,
9,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1909,1924,1938,1953,,
10,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2278,2296,2313,2330,,
11,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2131,2148,2164,2180,,
12,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2760,2782,2803,2823,,
13,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2479,2498,2517,2536,,
14,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2523,2543,2562,2581,,
15,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1455,1466,1477,1488,,
16,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3808,3838,3867,3895,,
17,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2163,2180,2196,2213,,
18,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2731,2752,2773,2794,,
19,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1446,1457,1468,1479,,
20,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,330,333,336,338,,
21,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3579,3607,3634,3661,,
22,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,619,624,629,633,,
23,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,1845,1859,1873,1887,,
24,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,782,788,794,800,,
25,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2800,2822,2843,2864,,
26,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,3185,3210,3234,3258,,
27,Greenwich,1,56,Fairfield,108,WestCOG,1,SWRMPO,1,,2677,2698,2718,2738,,
1743,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,1142,1228,1311,1393,,
1744,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,1083,1164,1243,1321,,
1745,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,520,559,598,634,,
1746,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,773,831,887,943,,
1747,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,3189,3427,3661,3888,,
1748,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,1793,1927,2058,2187,,
1749,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,1321,1420,1516,1611,,
1750,Griswold,158,57,New London,605,SCCOG,13,SCCOG,13,,2130,2290,2445,2597,,
1702,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,1026,1030,1033,1034,,
1703,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,253,254,255,256,,
1704,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,1725,1732,1736,1739,,
1705,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,3022,3034,3041,3047,,
1706,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,2085,2093,2098,2102,,
1707,Groton,155,58,New London,606,SCCOG,13,SCCOG,13,,2129,2137,2143,2146,,
