,,,,,,,,,,,Census,2010 Based Population Forecasts,,,,2020 Census Data
341,Bethlehem,32,10,Litchfield,302,NVCOG,5,CNVRMPO,5,,698,758,817,874,,
1085,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,722,742,761,780,,
1086,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,358,368,377,387,,
1087,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,1979,2033,2086,2138,,
1088,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,2359,2424,2487,2549,,
1089,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,38,39,41,42,,
1090,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,3985,4095,4201,4306,,
1091,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,2113,2171,2228,2283,,
1092,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,1432,1471,1510,1547,,
1093,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,1926,1979,2031,2081,,
1094,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,1032,1060,1088,1115,,
1095,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,2694,2768,2840,2911,,
1096,Bloomfield,86,11,Hartford,203,CRCOG,10,CRCOG,10,,1848,1899,1948,1997,,
1457,Bolton,117,12,Tolland,702,CRCOG,10,CRCOG,10,,771,819,865,911,,
1458,Bolton,117,12,Tolland,702,CRCOG,10,CRCOG,10,,1385,1471,1555,1637,,
1459,Bolton,117,12,Tolland,702,CRCOG,10,CRCOG,10,,1333,1416,1496,1575,,
1460,Bolton,117,12,Tolland,702,CRCOG,10,CRCOG,10,,1491,1583,1674,1762,,
1550,Bozrah,132,13,New London,601,SCCOG,13,SCCOG,13,,831,878,923,968,,
1551,Bozrah,132,13,New London,601,SCCOG,13,SCCOG,13,,305,322,339,355,,
1552,Bozrah,132,13,New London,601,SCCOG,13,SCCOG,13,,689,728,766,803,,
1553,Bozrah,132,13,New London,601,SCCOG,13,SCCOG,13,,802,847,891,934,,
1266,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2331,2447,2561,2672,,
1267,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2486,2610,2731,2850,,
1268,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1096,1151,1204,1256,,
1269,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1633,1715,1794,1872,,
1270,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2125,2231,2334,2436,,
1271,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1167,1225,1282,1338,,
1272,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1791,1880,1968,2053,,
1273,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2741,2878,3011,3142,,
1274,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1358,1426,1492,1557,,
1275,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1164,1222,1279,1334,,
1276,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1975,2074,2170,2264,,
1277,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2863,3006,3145,3281,,
1278,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1416,1487,1556,1623,,
1279,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,1292,1356,1419,1481,,
1280,Branford,100,14,New Haven,504,SCRCOG,8,SCRCOG,8,,2588,2717,2843,2967,,
447,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,322,323,323,324,,
448,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,0,0,0,0,,
449,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,0,0,0,0,,
450,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,945,947,948,950,,
451,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3030,3036,3041,3046,,
452,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2410,2415,2419,2422,,
453,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,524,525,526,527,,
454,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2274,2278,2282,2286,,
455,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1672,1675,1678,1681,,
456,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4824,4833,4842,4849,,
457,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2388,2393,2397,2400,,
458,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1594,1597,1600,1602,,
459,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2574,2579,2583,2587,,
460,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,0,0,0,0,,
