ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_source.label
Nigeria,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,102806.601,Repository: UN-DESA
Rwanda,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,2186.09,Repository: UN-DESA
Sudan,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,14957.093,Repository: UN-DESA
Senegal,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,7765.726,Repository: UN-DESA
Sierra Leone,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,3319.336,Repository: UN-DESA
Somalia,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,7034.842,Repository: UN-DESA
South Sudan,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,2201.263,Repository: UN-DESA
Sao Tome and Principe,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,158.271,Repository: UN-DESA
Eswatini,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,275.337,Repository: UN-DESA
Chad,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,3712.342,Repository: UN-DESA
Togo,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,3414.617,Repository: UN-DESA
Tunisia,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,8099.032,Repository: UN-DESA
"Tanzania, United Republic of","Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,20012.088,Repository: UN-DESA
Uganda,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,10784.306,Repository: UN-DESA
South Africa,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,39149.955,Repository: UN-DESA
Zambia,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,7871.7,Repository: UN-DESA
Zimbabwe,"Population by rural / urban areas -- UN estimates and projections, Nov. 2020 (thousands)",ILO - ILO Modelled Estimates,Area type: Urban,2019,4717.308,Repository: UN-DESA
